SKU,กลุ่ม,ชื่อสินค้า,หมวด,สีหลัก(แนะนำ),จำนวนสี,วัสดุ,ขนาด,ปัญหาที่ต้องเอาออก,โฟลเดอร์ต้นฉบับ (Demo),ไฟล์อ้างอิง,รูปปัจจุบัน(output ที่ต้องทับ)
EX021,C,"powerbank 10000mAh RPP-678 (Silver,N) Wireless - แบตสำรอง REMAX Package เดิม",พาวเวอร์แบงก์,เงิน/Silver,1,10000mAh,,"Live shows the Remax MagSafe powerbank front+back: prominent 'REMAX' wordmark, '20W' badge, dense spec/manufacturer text on the back panel and CE/FCC/RoHS certification logos — reads like a marketplace listing image.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\พาวเวอร์แบงค์ พัดลม Remax\พาวเวอร์แบงค์,"Power Bank 10000mAh RPP-678 (Silver,N) Wireless - แบตสำรอง REMAX.jpg",public/images/products/ex021-powerbank/ex021-powerbank-square.jpg
EX110,C,พาวเวอร์แบงค์ไร้สาย Remax RPP-30 10000mAh MagSafe,พาวเวอร์แบงก์,ฟ้า/Light Blue,1,,,Live shows the blue powerbank front+back: 'REMAX' molded wordmark and small spec/cert text on the back panel (icons + fine print near the top).,C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\พาวเวอร์แบงค์ พัดลม Remax\พาวเวอร์แบงค์,"Power Bank 10000mAh RPP-30 (Blue,N) Wireless - แบตสำรอง REMAX.jpg",public/images/products/ex110-powerbank/ex110-powerbank-square.jpg
EX111,C,พาวเวอร์แบงค์ Remax RPP-116 10000mAh สายในตัว (หลายสี),พาวเวอร์แบงก์,ดำ/Black,5,,,"Live is a fanned group of 6 colored Remax RPP-116 powerbanks with lanyards, each showing '22.5W' badges, 'Remax POWER BANK' text and QR codes on the back — a listing/group shot, not a single clean product.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\พาวเวอร์แบงค์ พัดลม Remax\พาวเวอร์แบงค์,RPP-116.jpg,public/images/products/ex111-powerbank/ex111-powerbank-square.jpg
EX020,C,powerbank,พาวเวอร์แบงก์,ดำ/Black,1,10000mAh,,"Clean single retractable-cable powerbank on studio bg, but a faint molded 'REMAX' wordmark is visible on the right side of the device.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\พาวเวอร์แบงค์ พัดลม Remax\พาวเวอร์แบงค์,RPP-116.jpg,public/images/products/ex020-powerbank/ex020-powerbank-square.jpg
EX101,C,ผ้าห่มนาโนเนื้อนุ่ม (Plain Fleece Blanket),ไลฟ์สไตล์,ครีม/Beige (custom colors),1,,,"Plain cream fleece blanket draped over a grey SOFA prop (couch/cushion visible behind), with a faded ghost blanket on the left.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\หมอน ผ้าห่ม pamatoy\ผ้าห่ม,ผ้าห่ม.jpg,public/images/products/ex101-lifestyle/ex101-lifestyle-square.jpg
EX025,A,แก้วเยติ 20oz · กล่องน้ำตาล (ฟู๊ดเกรด),แก้ว/กระบอกน้ำ,เขียวเข้ม,21,,600 ml,Red tumbler with large 'YOUR LOGO / โลโก้คุณตรงนี้' navy placeholder stamp across the body.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex025-drinkware/ex025-drinkware-square.jpg
EX026,A,แก้วเยติ 20oz · กล่องขาว,แก้ว/กระบอกน้ำ,เขียวเข้ม,21,,600 ml,Silver skinny tumbler with 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamp.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex026-drinkware/ex026-drinkware-square.jpg
EX029,A,แก้วเก็บความเย็น 30oz ทรงสูง · ฝาเกลียว,แก้ว/กระบอกน้ำ,ฟ้าอมเขียว,12,,890 ml,Silver curvy tumbler with 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamp.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex029-drinkware/ex029-drinkware-square.jpg
EX031,A,แก้วเก็บความเย็น 30oz ทรงสูง · หูเหลี่ยม,แก้ว/กระบอกน้ำ,ฟ้า,12,,890 ml,"White skinny tumbler w/ handle + straw, 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamp.",— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex031-drinkware/ex031-drinkware-square.jpg
EX032,A,แก้วกาแฟ COFFEE (ฝากระดก),แก้ว/กระบอกน้ำ,เขียวขี้ม้า,5,,510 ml,"White COFFEE tumbler, black flip lid, 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamp.",— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex032-drinkware/ex032-drinkware-square.jpg
EX034,A,แก้วเยติ 20oz ทรงอ้วน · หูเหลี่ยม,แก้ว/กระบอกน้ำ,,0,,600 ml,"White skinny tumbler w/ black handle + straw, 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamp.",— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex034-drinkware/ex034-drinkware-square.jpg
EX035,A,แก้ว 20oz ทรงอ้วน · หูโค้ง,แก้ว/กระบอกน้ำ,,0,,600 ml,White handled mug with 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamp.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex035-drinkware/ex035-drinkware-square.jpg
EX002,A,เสื้อยืดคอกลม แขนยาว,เสื้อผ้า,ขาว,6,ผ้า Cotton 100% เบอร์ 32 Semi,,'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamped on the back of the long-sleeve tee.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex002-garment/ex002-garment-square.jpg
EX045,A,เสื้อโปโล CoolPlus,เสื้อผ้า,sky blue,15,Cotton,,'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamped on the black polo chest.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex045-garment/ex045-garment-square.jpg
EX046,A,เสื้อโปโล (Micro-Polyester),เสื้อผ้า,dark green,10,Micro Polyester,,'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamped on the navy polo chest.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex046-garment/ex046-garment-square.jpg
EX051,A,เสื้อช็อป,เสื้อผ้า,,0,ผ้า Cotton สูตรพิเศษ,,'YOUR LOGO / โลโก้คุณตรงนี้' placeholder stamped on the blue dress-shirt chest.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex051-garment/ex051-garment-square.jpg
EX008,A,หมวกบันเดิล 4 ทรง (ตาข่าย/ปีกแข็ง/บักเก็ต/คลุมหน้า),หมวก,แดง,26,,,black trucker cap has a 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder patch stamped on the front panel,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex008-hat/ex008-hat-square.jpg
EX009,A,หมวกแก๊ปผ้าลีวาย (เดนิม/ยีนส์),หมวก,ม่วง,14,,,blue denim cap has a 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder patch on the front,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex009-hat/ex009-hat-square.jpg
EX012,A,ร่มพับ 5 ตอน,ร่ม,,0,,ร่มพับได้/UV,green folding umbrella canopy has a 'YOUR LOGO / โลโก้คุณตรงนี้' placeholder patch,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex012-umbrella/ex012-umbrella-square.jpg
EX027,B,แก้วเยติ 20oz · กล่องขาว YW,แก้ว/กระบอกน้ำ,เขียวเข้ม,21,,600 ml,Three identical white skinny tumblers shown together — should be ONE.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex027-drinkware/ex027-drinkware-square.jpg
EX030,B,แก้วเก็บความเย็น 30oz ทรงสูง · หูโค้ง,แก้ว/กระบอกน้ำ,ขาว,14,,890 ml,"Eight tumblers with handles in many colours + two loose lids — group shot, should be ONE.",— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex030-drinkware/ex030-drinkware-square.jpg
EX033,B,แก้วเยติ 20oz ทรงอ้วน · ฝาเกลียว,แก้ว/กระบอกน้ำ,แดง,14,,600 ml,Two white straw-lid tumblers shown together with hanging straps — should be ONE.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex033-drinkware/ex033-drinkware-square.jpg
EX038,B,แก้วไข่,แก้ว/กระบอกน้ำ,ม่วงอ่อน,15,,40oz,Two identical white egg-shaped cups side by side — should be ONE.,— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex038-drinkware/ex038-drinkware-square.jpg
EX039,B,แก้วทรงสตาร์บัค · ขอบดำ,แก้ว/กระบอกน้ำ,ชมพู,6,,750 ml,"Five tall straw tumblers (blue/green/gold/black + one lying down) — group, should be ONE.",— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex039-drinkware/ex039-drinkware-square.jpg
EX040,B,แก้วทรงสตาร์บัค · ขอบทอง,แก้ว/กระบอกน้ำ,ชมพู,7,,750 ml,"Four gold straw cups of varying shapes arranged as a collage — group, should be ONE.",— (ไม่มีในโฟลเดอร์ Demo ใช้รูปปัจจุบันเป็นอ้างอิง),,public/images/products/ex040-drinkware/ex040-drinkware-square.jpg
